l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
1,1,2,220000,3,2,50,Leitung 2016,TenneT,2016,43396,0.08,0.32,11.5,1.3,67129,'SRID=4326;LINESTRING(9.52257601112577 52.3604090734199,9.11321011483187 52.5438533448625)'
2,3,4,380000,3,4,50,Leitung 3011,TenneT,,72714,0.025,0.25,13.7,2.6,67131,'SRID=4326;LINESTRING(9.38974515063535 52.0263130791669,9.12526574244048 52.5382641233458)'
3,5,6,220000,3,2,50,Leitung 2024,TenneT,1,33954,0.08,0.32,11.5,1.3,67151,'SRID=4326;LINESTRING(10.366274939217 52.2846467643429,9.91814868737007 52.3799963378317)'
4,7,5,380000,3,4,50,Leitung 3026,TenneT,3026,33483,0.025,0.25,13.7,2.6,67153,'SRID=4326;LINESTRING(9.9171797569037 52.2781686248742,10.366274939217 52.2846467643429)'
5,8,9,380000,6,4,50,KKW Krümmel - UW Lüneburg,TenneT,,28172,0.0125,0.125,27.4,5.2,67585,'SRID=4326;LINESTRING(10.4149924241538 53.4126068813272,10.3787706356666 53.2197927695925)'
6,10,11,220000,3,2,50,295,50Hertz,295,27550,0.08,0.32,11.5,1.3,69042,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.2061030014846 52.6571363047161)'
7,11,12,220000,3,2,50,293,50Hertz,293,45776,0.08,0.32,11.5,1.3,69043,'SRID=4326;LINESTRING(13.2061030014846 52.6571363047161,13.709669749528 52.5397952998981)'
8,10,12,220000,3,2,50,294,50Hertz,294,68345,0.08,0.32,11.5,1.3,69045,'SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.709669749528 52.5397952998981)'
9,13,14,220000,3,2,50,Oba-Nfi I,TenneT TSO GmbH,263,39279,0.08,0.32,11.5,1.3,69488,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.8132329291411 48.2212664672329)'
10,13,15,380000,3,2,,Oba-Oh,transpower,461,44134,0.05,0.5,6.85,1.3,69489,'SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.868156362746 48.206802931481)'
11,16,5,380000,3,4,50,Leitung 3023,TenneT,2,36262,0.025,0.25,13.7,2.6,71281,'SRID=4326;LINESTRING(10.7610404155909 52.3677293936344,10.366274939217 52.2846467643429)'
