v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
131,8.10553905313517,53.5565257026489,sub_station,,,Rüstersieler-/Kurt-Schumacher-Straße,,463 E,SRID=4326;POINT(8.10553905313517 53.5565257026489)
200,8.40394268185539,49.089234984154,substation,,,,,,SRID=4326;POINT(8.40394268185539 49.089234984154)
1066,13.2773172915853,52.5285741145061,substation,,,,,,SRID=4326;POINT(13.2773172915853 52.5285741145061)
1359,11.7063885283128,48.2766481758593,substation,,,,Isar-Amperwerke,1639,SRID=4326;POINT(11.7063885283128 48.2766481758593)
2545,13.2116341848095,52.5757701932049,sub_station,,,,Vattenfall,2525,SRID=4326;POINT(13.2116341848095 52.5757701932049)
2546,13.2127413583972,52.5735584649325,sub_station,,,,Vattenfall,4100,SRID=4326;POINT(13.2127413583972 52.5735584649325)
2753,8.52295499412515,53.2085345079425,sub_station,,,,,1240,SRID=4326;POINT(8.52295499412515 53.2085345079425)
2933,13.4221323629185,52.5168873163376,substation,,,U-Station 4,Vattenfall Europe AG,,SRID=4326;POINT(13.4221323629185 52.5168873163376)
3498,9.08395235006862,49.973238789439,sub_station,,,,,,SRID=4326;POINT(9.08395235006862 49.973238789439)
3811,7.92234058667909,48.4809741177741,substation,220000,,In der Spöck,E-Werk Mittelbaden AG,,SRID=4326;POINT(7.92234058667909 48.4809741177741)
3875,11.0479651068824,49.6995461163602,sub_station,,,,,,SRID=4326;POINT(11.0479651068824 49.6995461163602)
4318,6.99532296142208,50.0106438937162,substation,,,,RWE,Bausendorf Moselstraße 23,SRID=4326;POINT(6.99532296142208 50.0106438937162)
6076,8.76445070892252,53.2266841855798,substation,20000,50,Trafostation Hinter dem Gartel,Stadtwerke,,SRID=4326;POINT(8.76445070892252 53.2266841855798)
6909,6.78873029884237,49.3376944875528,sub_station,,,,,,SRID=4326;POINT(6.78873029884237 49.3376944875528)
6948,11.3841463068979,48.2500528127884,sub_station,,,,Isar-Amperwerke,14662,SRID=4326;POINT(11.3841463068979 48.2500528127884)
6955,11.7753029649971,48.2070604112558,sub_station,,,,Isar-Amperwerke,1448,SRID=4326;POINT(11.7753029649971 48.2070604112558)
6981,6.63359232725326,51.2307140908495,sub_station,,,,,Neusser Straße 89,SRID=4326;POINT(6.63359232725326 51.2307140908495)
