l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
34071,16877,70098,380000;220000,6,4,50,Leitung 3004,TenneT,3004,743.703620743436,,,,,'','SRID=4326;LINESTRING(9.12526389159016 52.538263425925,9.11366716486098 52.5459026576161)'
34074,70102,70098,220000;110000,6,2,50,Leitung 2008,TenneT;EON_Netz,2008,28158.3127172695,,,,,'','SRID=4326;LINESTRING(9.49340916795172 52.5985236266571,9.11366716486098 52.5459026576161)'
34085,16877,22158,380000,6,2,50,3003 Sottrum - Landsbergen,TenneT,3003,78846.7919778882,,,,,'','SRID=4326;LINESTRING(9.12526389159016 52.538263425925,9.2507958453077 53.1143538767995)'
34559,70603,23292,110000,3,,,,,,126.761000097092,,,,,'','SRID=4326;LINESTRING(11.8033098991067 48.455482034525,11.8075402336937 48.4553719835162)'
34560,70603,23292,220000,3,,50,,,,119.728865752981,,,,,'','SRID=4326;LINESTRING(11.8033098991067 48.455482034525,11.8075402336937 48.4553719835162)'
36328,16327,33199,380000,3,,50,,,,208.851528000058,,,,,'','SRID=4326;LINESTRING(6.84265878207788 50.8635394606819,6.84810730266128 50.8617173194521)'
37471,16931,21233,220000,6,,50,,,,3500.14334567868,,,,,'','SRID=4326;LINESTRING(10.3692309019464 52.1670931348055,10.4204291523203 52.1652237833437)'
37474,24606,16931,220000,6,,50,,,0311,2320.74384371141,,,,,'','SRID=4326;LINESTRING(10.3884700861007 52.1513636144969,10.3692309019464 52.1670931348055)'
37691,73922,33646,110000,3,1,50,,AMPRION,,52.8053339016797,,,,,'','SRID=4326;LINESTRING(8.01904745395109 49.8161677038704,8.01816744247419 49.8154662404628)'
42271,70214,70434,220000,6,,,,,,249.793951055697,,,,,'','SRID=4326;LINESTRING(8.95872398704777 50.082621680098,8.94961855223382 50.0888975099738)'
42387,20066,69512,380000,3,4,50,Leupolz - Oberottmarshausen,Lechwerke,K12,30227.1393485467,,,,,'','SRID=4326;LINESTRING(10.7027362753295 47.8264651606571,10.3633415547822 47.7382558154671)'
43156,24682,28680,220000,3,2,50,,,,58.2828915976932,,,,,'','SRID=4326;LINESTRING(8.3135197430278 49.0090092094419,8.31561236456636 49.0063693441196)'
44396,25052,25079,380000,6,4,50,,TenneT,3018,29286.2122592647,,,,,'','SRID=4326;LINESTRING(9.259351399634 51.06007529587,9.51424554651402 51.2590220984252)'
50099,28680,24682,220000,3,2,50,,,,64.0944263723473,,,,,'','SRID=4326;LINESTRING(8.31561236456636 49.0063693441196,8.3135197430278 49.0090092094419)'
54768,24682,17460,220000,6,4,50,Daxlanden - Mühlburg,,,2374.6150127709,,,,,'','SRID=4326;LINESTRING(8.3135197430278 49.0090092094419,8.3491165279576 49.0130503068203)'
55418,70200,18496,380000,6,,50,,,,34.1410387081582,,,,,'','SRID=4326;LINESTRING(9.05027319674133 51.1666862316262,9.04740403477722 51.1677782457176)'
70320,49096,16359,380000;380000,3;3,,,380kV Scholven B;380kV Scholven B,RWE,4565,618.380600181356,,,,,'','SRID=4326;LINESTRING(7.01128961728202 51.6259004938275,7.02345297112589 51.6256937960974)'
70358,49176,16772,380000;380000,6;6,4;4,50;50,380 kV Sechtem Nord|Süd;380 kV Sechtem Nord|Süd,RWE,4100,26555.8164363744,,,,,'','SRID=4326;LINESTRING(6.78134560821773 50.8344116819775,6.45659087615362 50.8712553400326)'
70363,49274,16745,380000;380000,6;6,4;4,50;50,380kV Gütersloh Süd,RWE,4373,1592.99567846814,,,,,'','SRID=4326;LINESTRING(8.34491968459607 51.9175356811635,8.36422517775705 51.9270354615835)'
70378,16867,49415,220000;220000;220000,6;9;6,1;1;1,,,TenneT,207A,6051.60977448008,,,,,'','SRID=4326;LINESTRING(10.0604131000084 54.3488018281792,9.99682977410136 54.3134086116419)'
70512,16759,70612,110000;110000;110000,3;6;3,1;1;1,50;50;50,Leitung 1833 (System 121);Leitung 1833 (System 121);Leitung 1833 (System 121),EON_Netz,1833,4130.21185413818,,,,,'','SRID=4326;LINESTRING(11.0056026595869 52.1958094769989,10.977377563313 52.1690452344342)'
70520,16329,48427,110000;110000;110000;110000,6;6;6;6,1;1;2;1,50;50;50;50,110 kV Siegburg Nord|Süd;110 kV Siegburg Nord|Süd;110 kV Siegburg Nord|Süd;110 kV Siegburg Nord|Süd,RWE,0075,3456.31657262287,,,,,'','SRID=4326;LINESTRING(7.19312875539028 50.7982667618259,7.1435272864907 50.7969920834508)'
70532,17182,50082,380000;380000,3;3,4,50;50,423,50Hertz Transmission,423,515.514290521899,,,,,'','SRID=4326;LINESTRING(11.3705936118853 53.6009899422631,11.3701638498375 53.5949592749993)'
70567,48427,48428,380000;220000;380000;220000,12;12,4;2;4;2,50;50,380 kV Siegtal Nord|Süd; 220 kV Gremberghoven Ost|West;380 kV Siegtal Nord|Süd; 220 kV Gremberghoven Ost|West,RWE,4103,1387.57139473377,,,,,'','SRID=4326;LINESTRING(7.1435272864907 50.7969920834508,7.1631800892875 50.7974822042248)'
70713,50546,45582,220000;220000,6;6,,,,RWE,4133,318.928800643816,,,,,'','SRID=4326;LINESTRING(7.4526020923025 50.398698973836,7.44924656624752 50.4025219205625)'
75396,24065,48913,380000,3,,,GRFLD-HOEPF,,7610,42030.633971377,,,,,'','SRID=4326;LINESTRING(9.44693626147809 49.5902534921382,9.98465311042512 49.6042378959143)'
70886,71684,18560,110000;110000;110000;11000,6;6;9,1,50;50;50,Villip Nord;110 kV Villip Nord|Süd;110 kV Villip Nord|Süd; 11 kV Gelsdorf West,RWE,0793,5205.87874103997,,,,,'','SRID=4326;LINESTRING(7.07420000419969 50.5929348203362,7.0128248442432 50.6177866313836)'
70904,51026,70216,220000;220000,3;3,,,,,,275.682192956181,,,,,'','SRID=4326;LINESTRING(7.61228931215344 51.8968203048696,7.60712391433278 51.8986079568914)'
70912,51049,51513,380000;380000;380000,6;6;6,4;4;1,50;50;50,Krümmel - Görries;Krümmel - Görries;Krümmel - Görries,50Hertz,419;420,19878.4041729544,,,,,'','SRID=4326;LINESTRING(10.5483269069261 53.5505636159711,10.8250650574555 53.5131313829849)'
71153,70197,17381,380000;110000;110000;110000,3;6;3;3,1;1;1,50;50;50;50,,50Hertz Transmission,,140.314439178615,,,,,'','SRID=4326;LINESTRING(12.1863428126768 53.8109549597378,12.1870420494384 53.8158259546833)'
71163,17589,70150,380000;380000;380000;380000;0,3;3;3;6,,50;50;50;50,546;546;546;546,50Hertz Transmission,546,7220.60701761605,,,,,'','SRID=4326;LINESTRING(12.1304479265611 54.1408589827056,12.2149354752779 54.1002749934561)'
71307,51787,51793,220000;220000,6;3,2;2,50;50,,RWE,2669,437.492531592723,,,,,'','SRID=4326;LINESTRING(7.29583152251605 51.4564321980179,7.30039864725204 51.4546564722496)'
71315,51246,48800,220000;110000;220000;110000;220000;110000,12;12;12,1;2;1;4;2,,,RWE,2317,3141.38346561148,,,,,'','SRID=4326;LINESTRING(6.78821197092343 51.5067242628662,6.77089002679434 51.5293206139641)'
71538,17322,21544,110000;110000,6;6,,,,,,12048.0331406554,,,,,'','SRID=4326;LINESTRING(9.01343972225428 47.8453854681849,8.86154291947956 47.8064253485817)'
72150,54583,53703,220000;110000;220000,9;6,2;1;2,50;50,220 kV Windesheim; 110 kV Rosengarten Ost|West;220 kV Rheinau Ost|West,RWE,2327,23.2255944622986,,,,,'','SRID=4326;LINESTRING(8.42291806509643 49.6399513669051,8.42266509951243 49.6400981975718)'
76179,50491,50492,220000,12,2,,,RWE,,1229.25100579631,,,,,'','SRID=4326;LINESTRING(6.73917572434072 51.5133818072753,6.73186891765122 51.518809973085)'
76837,48658,48659,220000,6,2,50,3103 Dollern-(Niedervieland/Unterweser)-Alfstedt,transpower,,172.334328403863,,,,,'','SRID=4326;LINESTRING(8.51995632787523 53.2060787679953,8.52176409755299 53.2071982981313)'
77553,16632,51830,110000,6,2,,110kV Lirich West+Thyssen Ost,RWE,0907,315.328219797768,,,,,'','SRID=4326;LINESTRING(6.92677866419511 51.4992058618537,6.92904076818332 51.5034438856652)'
79323,51052,52330,380000;110000,12,4;1,50,Krümmel - Görries,50Hertz Transmission,304;167,10572.2615226702,,,,,'','SRID=4326;LINESTRING(10.4999493051097 53.4251741087891,10.5070565959746 53.5146528937225)'
80625,49209,50213,220000,6,,,,,5100,8384.93508745739,,,,,'','SRID=4326;LINESTRING(8.39752538696023 49.0902433051049,8.32162699809955 49.0416916040345)'
81328,70041,49386,220000,6,,50,Leitung 2027,TenneT,,29116.960506106,,,,,'','SRID=4326;LINESTRING(10.0906198164644 52.314337337281,10.3552149923206 52.1758110157759)'
81334,50078,49319,220000,3,1,50,,EON_Netz,,166.552349256174,,,,,'','SRID=4326;LINESTRING(8.34966332828539 53.2549109119844,8.34842895325349 53.2535979688195)'
81553,49710,49037,220000,3,2,,220kV Herne 4,RWE,,206.995290754757,,,,,'','SRID=4326;LINESTRING(7.1401650720453 51.5525898957984,7.1378237929203 51.5537614789583)'
82211,48856,48857,380000,12,4,50,'315, 316, 509, 513',50Hertz Transmission,315;316;509;513,316.655772911591,,,,,'','SRID=4326;LINESTRING(13.1381055516683 53.905612771508,13.1429138740581 53.9059170678674)'
83660,50359,52140,220000;110000,15,2;1,,,RWE,,244.230777606852,,,,,'','SRID=4326;LINESTRING(7.43254917987816 50.4065513955666,7.42912596982497 50.4068428117098)'
84035,48276,48699,380000;110000,18,,,'2 x 380 kV, 2 x 220 kV, 2 x 110 kV',,,8290.00605525931,,,,,'','SRID=4326;LINESTRING(8.68344926042734 49.9426911688183,8.77860734931648 49.9687442834315)'
84657,54192,54193,380000;110000,12,,,,,,2820.50776915501,,,,,'','SRID=4326;LINESTRING(9.68624552911765 50.4827326711601,9.71865099535087 50.4967852133765)'
84854,49266,49267,380000;110000,12,4,,,TenneT TSO GmbH;E.ON Netz GmbH,,5481.30249254266,,,,,'','SRID=4326;LINESTRING(9.11649687550782 50.1670149736167,9.09737048546752 50.1195925969823)'
86815,51082,51083,220000,6,,,,,,118.023634164698,,,,,'','SRID=4326;LINESTRING(9.23679063453038 48.9227402851052,9.2365991137118 48.9238058728457)'
88270,49615,52389,220000,3,,,,,,131.317004659819,,,,,'','SRID=4326;LINESTRING(10.1943466675341 47.9678562788865,10.1945326187979 47.9690427144804)'
89763,70078,51071,220000,6,,,Anlage 322,EnBW,,929.292605550068,,,,,'','SRID=4326;LINESTRING(9.19488886925179 48.9134592223643,9.20584178653036 48.9217453894164)'
90721,24682,50211,380000,6,,,,,,314.146272684141,,,,,'','SRID=4326;LINESTRING(8.3135197430278 49.0090092094419,8.31164312203185 49.0123617812239)'
90949,16474,48703,380000,6,4,50,,,,80.770482904922,,,,,'','SRID=4326;LINESTRING(8.80962882745583 50.2034693827142,8.81095891663265 50.2056397942199)'
91031,48274,48275,380000;220000;110000,15,,,'2 x 380 kV, 2 x 220 kV, 1 x 110 kV',,,344.699241673653,,,,,'','SRID=4326;LINESTRING(8.6733134792451 49.9422308722911,8.67812162197182 49.9424484759701)'
92623,48281,48282,380000,6,4,,517;518,Vattenfall_Europe_Transmission,517;518,445.16042609752,,,,,'','SRID=4326;LINESTRING(13.5148195457871 52.6207601089547,13.5082534898809 52.6211091901889)'
93152,50524,51898,380000,3,4,,,Lechwerke,12A,183.234002456156,,,,,'','SRID=4326;LINESTRING(11.03276237834 48.3937138026419,11.0316811660641 48.3952091779948)'
94382,49136,16644,110000,6,2,,110kV Leithe Ost+West,RWE,4170,117.947139122949,,,,,'','SRID=4326;LINESTRING(7.10406016380902 51.4787188083506,7.10471846117122 51.4817903450582)'
94948,48408,48402,220000,6,,50,220 kV Niederaußem 4d; Stommeln Nord,RWE,,357.811207901113,,,,,'','SRID=4326;LINESTRING(6.96506851113669 51.0517391654628,6.96076980300759 51.0499852948259)'
95536,50930,50931,220000,3,2,,,RWE,4316,251.367969761876,,,,,'','SRID=4326;LINESTRING(7.97137270101148 51.6697692079712,7.97297897857102 51.6718080865887)'
96599,48835,48842,380000;110000,12,3;1,,105;303,TenneT;EON_Netz,,1771.73085121219,,,,,'','SRID=4326;LINESTRING(8.59854148791918 53.0859140895399,8.61895219932119 53.0958088766831)'
97597,52238,70022,380000,6,4,50,380 kV Röhe Nord;380 kV Weisweiler Süd,RWE,,987.535722706462,,,,,'','SRID=4326;LINESTRING(6.29885031815443 50.8311235843478,6.32135995510046 50.8383026671046)'
97876,48716,48717,220000,6,2,,Neufinsing - Zolling,TenneT TSO GmbH,258,439.792335304107,,,,,'','SRID=4326;LINESTRING(11.8213669557992 48.2257314977981,11.8233940042378 48.2294602184679)'
99728,52712,70904,380000,6,4,50,380 kV Neurath 2b|3c,RWE,,90.5493556771844,,,,,'','SRID=4326;LINESTRING(6.60879226770999 51.0346787720857,6.62457280003915 51.0367860049099)'
99968,50416,51668,220000;110000,16,2;1,50;16.7,,RWE;DB_Energie,2444,5016.18773267093,,,,,'','SRID=4326;LINESTRING(6.53479992421916 51.7485512111337,6.5808158551536 51.7143931765389)'
100529,49740,58648,220000,3,,,,,,161.839389458821,,,,,'','SRID=4326;LINESTRING(9.52509091125011 53.6183462739183,9.52419187731376 53.6194887862203)'
100802,51003,51006,380000,6,4,50,,RWE,4315,2388.65994844251,,,,,'','SRID=4326;LINESTRING(8.02982966981028 51.4113683835071,8.01205245949519 51.4257232890418)'
100806,52267,52259,380000,3,,,,,,296.112310195505,,,,,'','SRID=4326;LINESTRING(7.96630260954791 47.5946750128787,7.96409976080819 47.5968970925726)'
101147,51026,49019,380000;220000,9,,,,RWE,4307,2341.52864076212,,,,,'','SRID=4326;LINESTRING(7.61228931215344 51.8968203048696,7.63897718126629 51.8886904017276)'
