v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
507,8.18355961654331,47.601323769444,plant,,,Kernkraftwerk Leibstadt,,,SRID=4326;POINT(8.18355961654331 47.601323769444)
508,7.97117863459035,47.5457833450791,substation,,,Münchwilen,,,SRID=4326;POINT(7.97117863459035 47.5457833450791)
509,7.67266489314443,47.5201252480429,substation,220000,,Lachmatt,,,SRID=4326;POINT(7.67266489314443 47.5201252480429)
510,7.64882434914906,47.0942208251304,substation,,,Bickigen,,,SRID=4326;POINT(7.64882434914906 47.0942208251304)
511,7.25880632792152,47.3376495939671,substation,380000;220000,,Bassecourt,,,SRID=4326;POINT(7.25880632792152 47.3376495939671)
512,7.79188134171127,47.1549422792263,substation,220000,,Lindenholz,,,SRID=4326;POINT(7.79188134171127 47.1549422792263)
513,7.94658892662442,47.3175289476011,substation,,,Oftringen,,,SRID=4326;POINT(7.94658892662442 47.3175289476011)
514,7.97327497114949,47.365586324211,substation,,,,,,SRID=4326;POINT(7.97327497114949 47.365586324211)
515,9.04741271801621,51.1677872449186,substation,400000,,,E.ON Kraftwerke GmbH,,SRID=4326;POINT(9.04741271801621 51.1677872449186)
516,9.05036513764223,51.1673238667951,substation,380000,50,,,,SRID=4326;POINT(9.05036513764223 51.1673238667951)
517,8.65595014422814,50.6036046473842,substation,380000;110000,50,Umspannwerk Gießen Nord,,,SRID=4326;POINT(8.65595014422814 50.6036046473842)
518,9.25664124635274,51.0591793040546,auxillary_T_node,380000,50,,TenneT,3002,SRID=4326;POINT(9.25664124635274 51.0591793040546)
519,12.789238190432,50.6270562614499,substation,380000;110000,50,Umspannwerk Zwönitz,,Zw,SRID=4326;POINT(12.789238190432 50.6270562614499)
520,12.881244953781,50.518645665309,substation,380000,,Markersbach,,,SRID=4326;POINT(12.881244953781 50.518645665309)
521,12.8259720721456,50.656844395994,auxillary_T_node,380000,,,50Hertz,577,SRID=4326;POINT(12.8259720721456 50.656844395994)
522,14.604476638274,52.1744941686659,substation,380000;110000,50,Eisenhüttenstadt,50Hertz_Transmission;EON_edis,EH,SRID=4326;POINT(14.604476638274 52.1744941686659)
523,14.5112016636857,52.1616046052254,auxillary_T_node,380000,50,547 Neuenhagen - Preilack,50Hertz,547,SRID=4326;POINT(14.5112016636857 52.1616046052254)
524,11.4713646981203,47.2728413155732,substation,220000;110000,50,Umspannwerk Thaur,TIWAG-Netz AG,,SRID=4326;POINT(11.4713646981203 47.2728413155732)
525,15.835183580605,50.3359068230297,substation,,,Neznášov,,,SRID=4326;POINT(15.835183580605 50.3359068230297)
526,16.6684113411675,49.8586971274099,substation,400000,50,Krasíkov,ČEPS,,SRID=4326;POINT(16.6684113411675 49.8586971274099)
527,5.0153381998213,52.3371603292604,substation,380000;150000,,380kV Diemen,TenneT,DIM,SRID=4326;POINT(5.0153381998213 52.3371603292604)
528,4.87612534788757,52.4290510631646,substation,380000;150000,,380kV Oostzaan,TenneT,,SRID=4326;POINT(4.87612534788757 52.4290510631646)
529,4.24821745869824,51.3695515064133,substation,380000;150000,,Elia Zandvliet,Elia,ZVL,SRID=4326;POINT(4.24821745869824 51.3695515064133)
530,3.72841487428927,51.4342432235487,substation,380000,,380 kV Borssele,,BSL,SRID=4326;POINT(3.72841487428927 51.4342432235487)
531,4.83300770038476,51.7007738611391,substation,380000,,380kV Geertruidenberg,Tennet,,SRID=4326;POINT(4.83300770038476 51.7007738611391)
532,-4.87509690883946,55.8999484085042,substation,400000,,Inverkip Substation,,,SRID=4326;POINT(-4.87509690883946 55.8999484085042)
533,-4.47656139152614,55.8093471860528,substation,275000;132000,,Neilston,,,SRID=4326;POINT(-4.47656139152614 55.8093471860528)
534,-4.3771249979952,55.9299937671148,substation,400000;275000;132000,,Windyhill Substation,,,SRID=4326;POINT(-4.3771249979952 55.9299937671148)
535,-4.70872243838737,55.9159362626391,substation,132000,,,,,SRID=4326;POINT(-4.70872243838737 55.9159362626391)
536,-4.07995829049975,55.7518425012999,substation,400000,,Strathaven Substation,,,SRID=4326;POINT(-4.07995829049975 55.7518425012999)
537,-4.46389140746773,55.57603221392,substation,400000;275000,,Kilmarnock South Substation,,,SRID=4326;POINT(-4.46389140746773 55.57603221392)
538,19.3316715070434,50.3768943238598,substation,400000;110000,,Stacja elektroenergetyczna „Tucznawa” 400/110 kV,PSE Operator,TCN,SRID=4326;POINT(19.3316715070434 50.3768943238598)
539,20.9650267224342,49.9694160086826,substation,400000;110000,,Stacja elektroenergetyczna „Tarnów” 400/110 kV,PSE Operator,TAW,SRID=4326;POINT(20.9650267224342 49.9694160086826)
540,20.4150853047228,50.8998456322033,substation,400000;220000,,Stacja elektroenergetyczna "Kielce" 400/220kV,PSE Operator,KIE,SRID=4326;POINT(20.4150853047228 50.8998456322033)
541,20.6383668271492,50.9046799623582,substation,220000;110000,,Stacja elektroenergetyczna "KIELCE PIASKI" 220/110/30/15kV,PSE Operator,KPK,SRID=4326;POINT(20.6383668271492 50.9046799623582)
542,32.8190307974773,39.8044251726876,substation,380000;154000,,380 kV Gölbaşı TM,TEİAŞ,,SRID=4326;POINT(32.8190307974773 39.8044251726876)
543,35.6686905763978,38.8591886057636,substation,380000;154000,,Kayseri SKM,TEİAŞ,,SRID=4326;POINT(35.6686905763978 38.8591886057636)
544,37.025874945474,38.3495749893622,substation,,,Afşin-Elbistan A TES TM,,,SRID=4326;POINT(37.025874945474 38.3495749893622)
545,34.9419680014804,38.6432378485178,substation,,,,MEDAŞ,,SRID=4326;POINT(34.9419680014804 38.6432378485178)
546,36.9118099869754,38.3544742707161,substation,380000,,Afşin-Elbistan B TES 380kV TM,,,SRID=4326;POINT(36.9118099869754 38.3544742707161)
547,34.9402379317689,38.6439696989532,substation,,,,MEDAŞ,,SRID=4326;POINT(34.9402379317689 38.6439696989532)
548,32.5381117711587,39.9771240680495,substation,,,Sincan TM,TEİAŞ,,SRID=4326;POINT(32.5381117711587 39.9771240680495)
549,40.1424374206745,38.0243110682432,substation,,,Diyarbakır-3 TM,,,SRID=4326;POINT(40.1424374206745 38.0243110682432)
550,39.139577477756,38.2011526448115,substation,,,Karakaya HES 380kV TM,,,SRID=4326;POINT(39.139577477756 38.2011526448115)
551,35.1339028050442,38.243217274989,substation,,,Yesilhisar TM,TEİAŞ,,SRID=4326;POINT(35.1339028050442 38.243217274989)
552,32.7508137008042,37.8415539974787,substation,380000;154000,,Konya-4 TM,,,SRID=4326;POINT(32.7508137008042 37.8415539974787)
